fileName,contractName,LOC,WFC,WMC,NPF,AFC,Max_cc,Avg_cc,MOA,CBO,RFC,CA,CE,IC,CBF,LCOF,LCOF3,CAF,DIT,NOC,MFA,DAM,NC,NTF,NSF,NATV,NDO,NRF,NE,TNP,TNMSV,NUAP,TNTDF,bugTotalNumber,DAOMethodCall,DelegateCallWithUserInput,UnsafeCallTarget,TODAmount,TODReceiver,TODTransfer,DAO,DAOConstantGas,UnprivilegedSuicide,UnrestrictedEtherFlow,UnrestrictedWrite,UseOfOrigin,IntegerOverflow,DivisionBeforeCallvalue,DivisionBeforeMultiply,LockedEther,MissingInputValidation,UnhandledException,WriteOnly,UnsafeDependenceOnBlock,UnsafeDependenceOnGas
0x0bc61dded5f6710c637cf8288eb6058766ce1921,CENStop,16,3,1,3,3.25,1,0.75,1,2,5,1,1,1,0,0,1.3333333333333333,0,1,1,0.0,1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bc61dded5f6710c637cf8288eb6058766ce1921,CENAuth,21,2,1,2,5.333333333333333,2,1.0,0,1,5,1,0,0,0,0,1.5,0.5,0,1,0.0,0.0,0,0,0,1,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0x0bc61dded5f6710c637cf8288eb6058766ce1921,CENToken,13,2,0,2,4.0,1,0.6666666666666666,1,1,3,0,1,1,0,1,2.0,0,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bc61dded5f6710c637cf8288eb6058766ce1921,Token,36,8,0,7,1.0,1,0.8888888888888888,1,2,8,1,1,1,0,28,1.1428571428571428,0.5,1,1,0.0,0.0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bc61dded5f6710c637cf8288eb6058766ce1921,StandardToken,64,8,0,7,7.375,4,1.5555555555555556,2,3,35,1,2,2,0,8,1.1428571428571428,0.5,2,1,0.0,1.0,0,0,0,4,0,10,0,15,17,22,0,30,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,14,0,0,0,0
0x0bc61dded5f6710c637cf8288eb6058766ce1921,SafeMath,32,6,0,0,5.0,1,0.8571428571428571,0,1,15,1,0,0,0,0,0,0.5,0,1,0.0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132,ViVICO,324,13,1,13,15.642857142857142,20,3.642857142857143,5,4,93,0,4,1,0,4,1.0769230769230769,0.15384615384615385,1,0,0.0,0.05,0,10,0,6,0,19,8,8,48,5,15,48,0,0,9,2,2,0,0,0,0,2,4,0,0,1,0,0,0,0,0,28,0
0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132,SafeMath,23,2,0,0,6.5,2,1.0,0,1,4,1,0,0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132,ERC20Basic,7,4,0,4,1.0,1,0.8,0,1,4,1,0,0,0,0,0,0.625,0,0,0.0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132,admined,38,2,1,1,4.333333333333333,1,0.6666666666666666,0,1,8,1,0,0,0,0,1.5,0.5,0,1,0.0,1.0,0,0,0,1,0,2,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
